Cat,Gender,T1,T2,T3,T4
G,F,120,45,4,24
N,F,240,151,32,140
O,M,45,31,10,33
O,M,210,271,71,267
O,M,210,148,33,126
G,F,240,282,109,477
O,M,240,170,35,122
N,F,240,100,25,75
G,F,60,23,4,12
G,F,240,215,86,440
N,F,120,37,1,3
O,M,240,288,93,470
N,F,120,110,31,102
O,F,60,30,11,164
N,F,420,180,53,165
O,M,210,205,56,183
O,M,165,145,57,231
O,F,240,269,58,213
O,F,45,33,6,18
N,M,90,54,13,39
O,F,150,30,1,3
N,F,120,74,12,100
G,F,60,39,10,30
N,F,180,142,33,102
O,M,60,30,14,42
O,M,150,63,25,81
N,F,120,120,43,135
O,F,90,63,21,72
N,M,360,345,125,398
O,M,60,35,6,18
N,F,360,305,98,415
N,M,210,116,28,83
O,M,210,206,30,90
N,F,120,87,2,6
O,F,150,141,26,105
G,M,90,93,6,18
G,F,60,59,8,24
N,F,120,149,30,105
N,F,90,86,8,30
O,F,120,208,34,109
N,M,90,74,3,9
O,M,150,123,27,84
O,F,90,66,2,6
N,F,150,132,35,105
O,M,150,118,36,108
N,M,120,100,26,132
O,F,120,103,18,57
G,M,90,67,14,42
G,M,120,95,24,72
G,F,45,56,23,69
G,F,30,25,11,33
G,F,75,62,12,63
G,F,60,20,8,24
G,F,60,22,4,12
G,F,60,35,9,27
G,M,60,17,5,15
G,F,75,44,4,12
G,F,60,51,29,93
G,F,60,39,20,63
